strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
CX11264,1,CX11264,HEY-034,1,,20160408,CX,,,,34.130138,-118.114835,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,,,,TRUE,,,,
CX11268,0,CX11315,HEY-038,0,,20160408,CX,,,,34.130138,-118.114835,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,,,,,,,,
CX11271,1,CX11271,HEY-050,1,,20160408,CX,,,,34.13712,-118.12532,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location at CalTech is unknown,isolated at California Institue of Technology,California,United States,,TRUE,,,,,,
CX11276,1,CX11276,HEY-056,1,,20160408,CX,,,,34.20111,-118.21198,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated at Decanso Gardens,California,United States,,TRUE,,,,,,
CX11278,0,CB4858,HEY-009,0,,20160408,CX,,,,34.13531,-118.30582,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in park is unknown,isolated in Griffith Park,California,United States,,,,,,,,
CX11285,1,CX11285,HEY-061,1,,20160408,CX,,,,34.14331,-118.05496,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location is unknown,isolated in Los Angeles Arboretum,California,United States,,TRUE,,,,,,
CX11292,1,CX11292,HEY-016,1,,20160408,CX,,,,34.13531,-118.30582,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2004-02-01,exact location in park is unknown,isolated in Griffith Park,California,United States,,,,TRUE,,,,
CX11294,0,CX11262,HEY-027,0,,20160408,CX,,,,34.12946,-118.10987,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,,,,,,,,
CX11305,0,CB4858,HEY-004,0,,20160408,CX,,,,34.13531,-118.30582,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in park is unknown,isolated in Griffith Park,California,United States,,,,,,,,
CX11307,1,CX11307,HEY-011,1,,20160408,CX,,,,34.12946,-118.10987,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2013-09-03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,,,,TRUE,,,,
CX11314,1,CX11314,HEY-036,1,,20160408,CX,,,,34.12946,-118.10987,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,TRUE,,,,,,,
CX11315,1,CX11315,HEY-039,1,,20160408,CX,,,,34.12946,-118.10987,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2013-09-03,exact location in garden is unknown,isolated in Huntington Gardens,California,United States,,,,TRUE,,,,
CX11316,0,CX11276,HEY-058,0,,20160408,CX,,,,34.20111,-118.21198,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in garden is unknown,isolated at Decanso Gardens,California,United States,,,,,,,,
CX11317,0,CB4858,HEY-042,0,,20160408,CX,,,,34.13531,-118.30582,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location in park is unknown,isolated in Griffith Park,California,United States,,,,,,,,
CX11319,0,CX11271,HEY-055,0,,20160408,CX,,,,34.13712,-118.12532,Urban garden,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location is unknown,isolated at California Institue of Technology,California,United States,,,,,,,,
CX11321,0,CX11285,HEY-063,0,,20160408,CX,,,,34.14331,-118.05496,Botanical garden zoo,Soil,soil,,,,,NA,A. Sivasundar,A. Sivasundar,2003-09-01,exact location is unknown,isolated in Los Angeles Arboretum,California,United States,,,,,,,,
DH424,0,NA,NA,0,recombinant N2xCB4851,20160408,CGC,,,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,
DL200,1,DL200,NA,1,,20160408,DL,,,,9.03,38.74,Urban garden,Soil,garden soil in an orphanage,,,,,NA,D. Denver,D. Denver,2007-12-01,only year and month (Dec. 2007) are known,NA,Oromia,Ethiopia,,TRUE,,,,,,
DL226,1,DL226,NA,1,,20160408,DL,,,,44.5633,-123.2821,Urban garden,Soil,leaf litter/soil on Oregon State campus,,,,,NA,C. Hilburn,C. Hilburn,2008-01-01,only year (2008) is known,NA,Oregon,United States,,TRUE,,,,,,
DL238,1,DL238,NA,1,,20160408,DL,,,,19.11,-155.81,Forest,Leaf litter,leaves on side of hiking path at Manuka State Park,,,,,NA,J. Knapp,J. Knapp,2008-07-15,NA,NA,Hawaii,United States,TRUE,,,,,,,
DR1344,0,CB4851,Bergerac BO,0,,20160408,CGC,,,,44.85,0.48,NA,Soil,soil,,,,,NA,V. Nigon,V. Nigon,NA,pre-1949,"From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by D. Riddle",Aquitaine,France,,,,,,,,
DR1345,0,CB4857,NA,0,,20160408,CGC,,,,34.096,-117.719,NA,Rotting fungus,rotting mushroom,,,,,NA,E. Hedgecock,E. Hedgecock,1972-11-01,only month/year is known (November 1972), DRiddle subclone of Cl2a (Tc1 patternII),California,United States,,,,,,,,
DR1349,0,NA,NA,0,recombinant N2xCB4851,20160408,CGC,,,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,
DR1350,0,CB4853,PA2|CB3198,0,,20160408,CGC,,,,34.13712,-118.12532,Urban garden,Flower,flower bed,,,,,NA,E. Hedgecock,E. Hedgecock,1973-01-01,only year (1973) is known,"PA-2 subclone, frozen by D. Riddle",California,United States,,,,,,,,
QX1791,1,QX1791,QX1791 #2,1,,20160408,QX,,,,20.6344,-156.3935,Forest,Rotting bark,"rotting bark, base of eucalyptus tree",,,,,NA,E. Andersen,E. Andersen,2011-01-27,NA,NA,Hawaii,United States,,,,TRUE,,,,
ECA190,0,ECA189,NA,1,,20170531,ECA,,,,19.423889,-155.2225,Forest,Soil,next to a yacon plant,,,,,NA,R. Tanny,T. Blanche,2014-07-09,NA,NA,Hawaii,United States,,,,,,,,
QX1792,1,QX1792,QX1792 #2,1,,20160408,QX,,,,20.70554,-156.35475,Rural garden,Rotting fruit,rotting orange flowers,,,,,NA,E. Andersen,E. Andersen,2011-01-28,NA,NA,Hawaii,United States,,,,TRUE,,,,
ECA192,0,ECA189,NA,1,,20170531,ECA,,,,19.424444,-155.221944,Forest,Compost,garden trash pile by road,,,,,NA,R. Tanny,T. Blanche,2014-07-09,NA,NA,Hawaii,United States,,,,,,,,
ECA193,0,ECA189,NA,1,,20170531,ECA,,,,19.424444,-155.221944,Forest,Compost,garden trash pile by road,,,,,NA,R. Tanny,T. Blanche,2014-07-09,NA,NA,Hawaii,United States,,,,,,,,
ECA243,1,CB4851,CB4851 (CGC)|CB4851_CGC|CB4851|N62,1,,20160408,CGC,,,,44.85,0.48,Urban garden,Soil,soil,,,,,NA,V. Nigon,V. Nigon,NA,pre-1949,"Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.",Aquitaine,France,,,TRUE,,,,,
ECA244,0,N2,CB4851 (UK)|CB4851_UK|N62,0,N2 clone,20160408,CB,,,,44.85,0.48,Urban garden,Soil,soil,,,,,NA,V. Nigon,V. Nigon,NA,pre-1949,"Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.",Nouvelle-Aquitaine,France,,,,,,,,
ECA245,0,CB4853,CB4853 (CGC)|CB4853_CGC|GA12,1,,20160408,CGC,,,,34.171,-118.131,Urban garden,Vegetable,vegetable garden,,,,,NA,NA,C. Johnson,1974-05-01,only month/year is known (May 1974),Low copy Tc1; pattern III,California,United States,,,,,,,,
ECA246,1,CB4853,CB4853 (UK)|CB4853_UK|CB4853|GA12,1,,20160408,CB,,,,34.189,-118.131,Urban garden,Vegetable,vegetable garden,,,,,NA,NA,C. Johnson,1974-05-01,only month/year is known (May 1974),Low copy Tc1; pattern III,California,United States,,TRUE,,,,,,
ECA247,0,CB4858,CB4855 (CGC)|CB4855_CGC|Cal-5|Sta-5,0,,20160408,CGC,,,,37.43,-122.13,Urban garden,Compost,compost heap,,,,,NA,NA,T. Doniach,1982-01-01,only year (1982) is known,"Low copy Tc1, pattern VI",California,United States,,,,,,,,
ECA248,1,CB4855,CB4855 (UK)|CB4855_UK|CB4855|Cal-5|Sta-5,1,,20160408,CB,,,,37.44,-122.14,Urban garden,Compost,compost heap,,,,,NA,NA,T. Doniach,1982-01-01,only year (1982) is known,"Low copy Tc1, pattern VI",California,United States,,,TRUE,,,,,
ECA249,0,CB4857,CB4857 (CGC)|CB4857_CGC|CB4857|Cl2a,1,,20160408,CB,,,,34.096,-117.719,NA,Rotting fungus,rotting mushroom,,,,,NA,NA,E. Hedgecock,1972-11-01,only month/year is known (November 1972),"Low copy Tc1, pattern II",California,United States,,,,,,,,
ECA250,1,CB4857,CB4857 (UK)|CB4857_UK|Cl2a,1,,20160408,CB,,,,34.096,-117.719,NA,Rotting fungus,rotting mushroom,,,,,NA,NA,E. Hedgecock,1972-11-01,only month/year is known (November 1972),"Low copy Tc1, pattern II",California,United States,,,,TRUE,,,,
ECA251,1,CB4858,CB4858 (CGC)|CB4858_CGC|CB4858|PA1,1,,20160408,CGC,,,,34.1,-118.1,Urban garden,Flower,flower bed,,,,,NA,NA,E. Hedgecock,1973-06-01,only year (1973) is known; collected in the summer,this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).,California,United States,,TRUE,,,,,,
ECA252,1,ECA252,CB4858 (UK)|CB4858_UK,1,,20160408,CB,,,,34.1,-118.1,Urban garden,Flower,flower bed,,,,,NA,NA,E. Hedgecock,1973-06-01,only year (1973) is known; collected in the summer,this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).,California,United States,,,,TRUE,,,,
ECA253,0,N2,N2 (CGC)|N2_CGC|N2,1,,20160408,CGC,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,,,,,NA,L. Staniland,W. Nicholas,1951-01-01,only year (1951) is known,,England,United Kingdom,,,,,,,,
ECA254,0,N2,N2 Baer|N2_Baer|N2|N2Baer,1,,20160408,CFB,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,,,,,NA,L. Staniland,W. Nicholas,1951-01-01,only year (1951) is known,,England,United Kingdom,,,,,,,,
ECA255,0,N2,N2 Baer duplicate #1|N2,0,,20160408,CFB,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,,,,,NA,NA,W. Nicholas,1951-01-01,only year (1951) is known,,England,United Kingdom,,,,,,,,
ECA257,0,N2,Kammenga N2 isolate|N2,0,,20160408,WN,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,,,,,NA,NA,W. Nicholas,1951-01-01,only year (1951) is known,,England,United Kingdom,,,,,,,,
ECA258,0,PB306,PB306 Baer,0,,20160408,CFB,,,,NA,NA,NA,Isopod,"live arthropod, Porcellio scaber",,,,,NA,S. Baird,S. Baird,1998-11-28,NA,Porcellio scaber obtained from Connecticut Valley Biological Supply,,,,,,,,,,
ECA259,1,PB306,PB306 CGC|PB306,1,,20160408,CGC,,,,NA,NA,NA,Isopod,"live arthropod, Porcellio scaber",,,,,NA,S. Baird,S. Baird,1998-11-28,NA,Porcellio scaber obtained from Connecticut Valley Biological Supply,,,,,TRUE,,,,,
ECA260,0,CB4856,Kammenga CB4856,0,,20160408,WN,,,,21.33,-157.86,Rural garden,Fruit,pineapple field,,,,,NA,L. Hollen,L. Hollen,1972-08-01,NA,Isolated from an unknown Hawaiian island pineapple field,Hawaii,United States,,,,,,,,
ECA339,0,ECA252,Bergerac FR,1,,20170531,JU,,,,44.8358,0.4948,Rural garden,Soil,garden soil,,,,,NA,V. Nigon,V. Nigon,1949-01-01,Only year of isolation (1949) is known,Note that the GPS coordinates were obtained from the wormbase entries describing the other Bergerac strains.,Nouvelle-Aquitaine,France,,,,,,,,
QX1793,1,QX1793,QX1793 #2,1,,20160408,QX,,,,20.70559,-156.35678,Rural garden,Compost,Wilma's vermiculate compost bin,,,,,NA,E. Andersen,E. Andersen,2011-01-28,NA,NA,Hawaii,United States,,,,TRUE,,,,
ECA348,1,ECA348,NA,1,,20170531,ECA,,,,37.775334,-122.253889,Urban garden,Rotting fruit,rotting leaves and Ginko berries in an urban garden,,,,,NA,K. Patel,S. Zdraljevic,2015-12-30,NA,NA,California,United States,,,,,TRUE,,,
ECA349,1,ECA349,NA,1,,20170531,ECA,,,,32.765758,-117.236741,Urban garden,Rotting nut,rotting palm nuts outside dumpsters,,,,,NA,K. Patel,E. Andersen,2016-02-09,,,California,United States,,,,,TRUE,,,
ECA350,0,ECA349,NA,1,,20170531,ECA,,,,32.765353,-117.235442,Urban garden,Slug,rotting palm nuts and live slug in palm nut at base of palm tree,,,,,NA,K. Patel,E. Andersen,2016-02-09,,,California,United States,,,,,,,,
ECA36,1,ECA36,GD6,1,,20160408,ECA,,,,-36.893333,174.745529,Urban garden,Leaf litter,garden grass,,,,,NA,K. Ly,I. Ly,2013-07-27,NA,NA,Auckland,New Zealand,,TRUE,,,,,,
QX1794,1,QX1794,QX1794 #2,1,,20160408,QX,,,,20.70559,-156.35678,Rural garden,Compost,Wilma's vermiculate compost bin,,,,,NA,E. Andersen,E. Andersen,2011-01-28,NA,NA,Hawaii,United States,,TRUE,,,,,,
ECA189,1,ECA189,NA,1,,20170531,ECA,,,,19.423889,-155.2225,Forest,Soil,next to a yacon plant,,,,,NA,R. Tanny,T. Blanche,2014-07-09,NA,NA,Hawaii,United States,,,,,,TRUE,,
ECA191,1,ECA191,NA,1,,20170531,ECA,,,,19.424167,-155.221944,Forest,Rotting flower,rotting ginger heap,,,,,NA,R. Tanny,T. Blanche,2014-07-09,NA,NA,Hawaii,United States,,,,,,TRUE,,
ECA393,0,ECA189,,1,,20170531,ECA,,,,19.449831,-155.235493,Rural garden,Compost,Compost bin,,,,,NA,R. Tanny,G. Chavez,2016-05-17,NA,NA,Hawaii,Unites States,,,,,,,,
ECA394,0,ECA189,,,,20180413,ECA,,,,19.449831,-155.235493,Rural garden,Compost,Compost bin,,,,,NA,R. Tanny,G. Chavez,2016-05-17,NA,NA,Hawaii,Unites States,,,,,,,,
