strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
ECA704,0,ECA812,,,,20180413,ECA,hawaii_2017,C-3164,S-05967,20.039783,-155.441517,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,S. Zdraljevic,D. Lee,2017-08-13,,,Hawaii,United States,,,,,,,,
ECA396,1,ECA396,,1,,20170531,ECA,,,,19.449831,-155.235493,Rural garden,Rotting fruit,"rotting fruit, lemons",,,,,NA,R. Tanny,G. Chavez,2016-05-17,NA,NA,Hawaii,Unites States,,,,,TRUE,,,
XZ1513,1,XZ1513,NA,1,,20170531,XZ,,,,22.14787,-159.63105,NA,Rotting fruit,"rotting fruit, small red berries",,,,,NA,M. Ailion,M. Ailion,2014-10-08,NA,NA,Hawaii,United States,,,,,TRUE,,,
ECA707,0,ECA778,,,,20180413,ECA,hawaii_2017,C-3164,S-06003,20.039783,-155.441517,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,S. Zdraljevic,D. Lee,2017-08-13,,,Hawaii,United States,,,,,,,,
ECA708,0,ECA778,,,,20180413,ECA,hawaii_2017,C-3164,S-06025,20.039783,-155.441517,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,S. Zdraljevic,D. Lee,2017-08-13,,,Hawaii,United States,,,,,,,,
ECA709,0,ECA778,,,,20180413,ECA,hawaii_2017,C-3164,S-06026,20.039783,-155.441517,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,S. Zdraljevic,D. Lee,2017-08-13,,,Hawaii,United States,,,,,,,,
XZ1514,1,XZ1514,NA,1,,20170531,XZ,,,,22.149,-159.668,NA,Rotting fruit,rotten small fruit (papaya or mango?),,,,,NA,M. Ailion,M. Ailion,2014-10-15,NA,NA,Hawaii,United States,,,,,TRUE,,,
ECA711,0,ECA712,,,,20180413,ECA,hawaii_2017,C-3097,S-06054,19.423864,-155.222478,Rural garden,Leaf litter,,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,S. Zdraljevic,S. Zdraljevic,2017-08-14,,,Hawaii,United States,,,,,,,,
XZ1515,1,XZ1515,NA,1,,20170531,XZ,,,,22.149,-159.668,NA,Rotting fruit,rotten small berries,,,,,NA,M. Ailion,M. Ailion,2014-10-15,NA,NA,Hawaii,United States,,,,,,TRUE,,
ECA713,0,ECA712,,,,20180413,ECA,hawaii_2017,C-3097,S-06059,19.423864,-155.222478,Rural garden,Leaf litter,,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,S. Zdraljevic,S. Zdraljevic,2017-08-14,,,Hawaii,United States,,,,,,,,
ECA714,0,ECA712,,,,20180413,ECA,hawaii_2017,C-3097,S-06073,19.423864,-155.222478,Rural garden,Leaf litter,,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,S. Zdraljevic,S. Zdraljevic,2017-08-14,,,Hawaii,United States,,,,,,,,
