# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	QG2854	3014684	115931	1950	68078	49803	42023	31.9	360	0	0	159281
PSC	0	QG2855	3010062	120044	2013	70384	51673	43366	29.7	369	0	0	158432
PSC	0	QG2857	3024920	111310	1863	65335	47838	40301	27.5	559	0	0	155545
PSC	0	QG2873	3028499	112070	2207	66057	48220	40187	31.8	348	0	0	150918
PSC	0	QG2874	3019286	113698	2018	66906	48810	40686	29.2	406	0	0	158188
PSC	0	QG2875	3040374	103639	2381	60806	45214	39907	34.1	1273	0	0	147528
PSC	0	QG2877	3004448	112743	2346	66549	48540	40728	32.5	784	0	0	173432
PSC	0	QG2932	3096796	87811	1287	50801	38297	35121	33.1	1803	0	0	112977
PSC	0	QG536	3086000	87299	2791	51562	38528	31733	42.3	970	0	0	126343
PSC	0	QG556	2790853	122880	4224	73374	53730	39988	29.3	1636	0	0	375818
PSC	0	QG557	2824676	90026	2007	53073	38960	31110	28.7	484	0	0	386567
PSC	0	QW947	2934998	113800	2421	67033	49188	39252	26.1	1151	0	0	243665
PSC	0	QX1211	2564813	357074	10930	207093	160911	114961	64.3	15637	0	0	282521
PSC	0	QX1212	2999633	116605	3878	69369	51114	41548	46.6	895	0	0	172087
PSC	0	QX1233	3050982	95066	5603	56891	43778	39060	36.3	603	0	0	143235
PSC	0	QX1791	2852056	187648	8674	113369	82953	63803	50.7	23650	0	0	220086
PSC	0	QX1792	2945496	143242	4195	84265	63172	52991	50.9	4107	0	0	187231
PSC	0	QX1793	2940106	153405	4463	90510	67358	54862	39.6	4721	0	0	180299
PSC	0	QX1794	2830133	156056	12941	97251	71746	56023	42.1	4291	0	0	278117
PSC	0	RC301	3102043	74325	1927	43472	32780	28186	36.5	627	0	0	127724
PSC	0	WN2001	2954455	135523	3347	79928	58942	47458	39.7	1937	0	0	192735
PSC	0	WN2002	2979715	82825	2349	49015	36159	28453	30.3	1126	0	0	240999
PSC	0	WN2033	3040330	90358	5240	54715	40883	35853	31.0	770	0	0	162207
PSC	0	WN2050	3015776	96696	2260	56988	41968	33300	27.0	620	0	0	186273
PSC	0	WN2063	3113113	82063	2639	47817	36885	34225	34.6	904	0	0	102098
PSC	0	WN2064	3098689	46490	3126	28261	21355	18958	31.6	625	0	0	167512
PSC	0	WN2066	3176284	56460	1754	33210	25004	22906	38.3	611	0	0	77118
PSC	0	XZ1513	2877087	168910	5647	99972	74585	59251	29.0	1617	0	0	222326
PSC	0	XZ1514	2477486	364602	12778	213104	164276	114719	29.7	34694	0	0	360931
PSC	0	XZ1515	2873393	168302	6033	99160	75175	58392	26.9	9126	0	0	227171
PSC	0	XZ1516	2225829	500239	21616	297049	224806	147133	27.6	205846	0	0	433608
PSC	0	XZ1672	3017427	66329	6997	42025	31301	26481	24.7	1013	0	0	217192
PSC	0	XZ1734	2909823	104501	10317	66472	48346	38193	30.3	1338	0	0	271139
PSC	0	XZ1735	2926261	95894	8902	60491	44305	34633	25.8	1232	0	0	268399
PSC	0	XZ1756	2905389	85032	8639	54476	39195	30753	26.4	917	0	0	304415
PSC	0	XZ2018	2980845	50006	4141	30965	23182	19959	26.7	772	0	0	279672
PSC	0	XZ2019	2721089	158860	18184	102484	74560	55650	29.5	13320	0	0	379185
PSC	0	XZ2020	2981421	80831	9773	52504	38100	29007	23.2	2405	0	0	233404
