N	eigenvalue	difference	twstat	p-value	effect.n
1	35.956915	NA	58.918	5.86129e-133	40.458
2	20.761431	-15.195484	49.092	1.37379e-101	59.456
3	20.272573	-0.488857	69.737	1.19427e-170	70.849
4	16.053778	-4.218795	81.185	7.58664e-214	95.530
5	7.083145	-8.970633	26.638	9.71271e-42	129.873
6	6.610573	-0.472572	25.615	1.82888e-39	135.047
7	6.107823	-0.502750	23.519	6.0726e-35	140.074
8	5.896484	-0.211339	24.617	2.74714e-37	144.655
9	5.489193	-0.407291	22.819	1.77813e-33	149.659
10	5.265728	-0.223464	23.159	3.47559e-34	154.291
11	4.970201	-0.295527	22.155	4.16732e-32	159.136
12	4.838490	-0.131712	23.502	6.59849e-35	163.821
13	4.269018	-0.569472	17.021	3.23826e-22	169.012
14	4.244879	-0.024139	19.305	1.86041e-26	172.548
15	4.163028	-0.081850	20.756	2.77017e-29	176.768
16	4.132370	-0.030658	23.384	1.17127e-34	181.495
17	3.954527	-0.177843	23.220	2.57978e-34	187.126
18	3.940830	-0.013697	26.505	1.92842e-41	192.852
19	3.391236	-0.549594	17.590	3.01101e-23	199.815
20	3.379632	-0.011603	19.987	8.96609e-28	204.143
21	3.284392	-0.095240	20.543	7.28282e-29	209.282
22	3.179609	-0.104783	20.802	2.24372e-29	214.718
23	3.173429	-0.006180	23.702	2.48719e-35	220.369
24	3.089744	-0.083685	24.753	1.39319e-37	227.141
25	2.870934	-0.218811	21.707	3.4136e-31	234.470
26	2.791980	-0.078954	22.325	1.87067e-32	240.901
27	2.626157	-0.165823	20.030	7.402e-28	247.714
28	2.586838	-0.039319	21.526	7.94644e-31	253.882
29	2.470458	-0.116380	20.402	1.38496e-28	260.736
30	2.428728	-0.041730	21.713	3.32889e-31	267.348
31	2.414524	-0.014204	24.179	2.40106e-36	274.611
32	2.405001	-0.009523	27.135	7.3492e-43	283.035
33	2.252627	-0.152374	24.493	5.09173e-37	292.951
34	2.206798	-0.045829	25.808	6.88033e-40	301.996
35	2.149053	-0.057745	26.654	8.93941e-42	311.868
36	1.978552	-0.170501	22.107	5.23991e-32	322.409
37	1.906943	-0.071609	21.485	9.61603e-31	331.191
38	1.691822	-0.215121	13.294	6.82055e-16	339.926
39	1.634258	-0.057564	12.194	3.54331e-14	345.538
40	1.611536	-0.022723	12.789	4.26907e-15	350.851
41	1.543968	-0.067567	10.930	2.67577e-12	356.491
42	1.525947	-0.018022	11.615	2.64268e-13	361.541
43	1.505265	-0.020682	12.178	3.74614e-14	366.944
44	1.472936	-0.032329	12.069	5.49716e-14	372.668
45	1.429438	-0.043498	11.223	1.00302e-12	378.461
46	1.405200	-0.024238	11.436	4.87923e-13	384.031
47	1.393285	-0.011915	12.411	1.64678e-14	389.791
48	1.358697	-0.034588	11.975	7.61891e-14	396.063
49	1.335488	-0.023209	12.202	3.44205e-14	402.277
50	1.274082	-0.061407	9.805	1.02891e-10	408.709
51	1.253607	-0.020475	9.968	6.13491e-11	414.260
52	1.224966	-0.028641	9.531	2.42997e-10	419.982
53	1.192425	-0.032541	8.731	2.78029e-09	425.625
54	1.166585	-0.025840	8.318	9.39978e-09	431.037
55	1.134321	-0.032264	7.350	5.15227e-08	436.372
56	1.109187	-0.025133	6.813	2.26596e-07	441.396
57	1.095072	-0.014115	7.068	1.135e-07	446.283
58	1.063699	-0.031374	5.939	2.26815e-06	451.359
59	1.050679	-0.013019	6.181	1.2157e-06	456.047
60	1.044462	-0.006217	6.984	1.42148e-07	460.913
61	1.017064	-0.027398	6.046	1.72458e-06	466.207
62	1.010028	-0.007036	6.750	2.69064e-07	471.181
63	1.002330	-0.007698	7.433	4.10352e-08	476.549
64	0.977402	-0.024928	6.616	3.85582e-07	482.318
65	0.957718	-0.019684	6.178	1.22653e-06	487.813
66	0.931730	-0.025988	5.096	1.82019e-05	493.201
67	0.918711	-0.013019	5.119	1.72244e-05	498.186
68	0.907093	-0.011618	5.257	1.23646e-05	503.262
69	0.892557	-0.014536	5.102	1.79454e-05	508.484
70	0.872525	-0.020032	4.371	9.73518e-05	513.720
71	0.857650	-0.014875	4.080	0.000185408	518.699
72	0.842862	-0.014788	3.755	0.000371468	523.620
73	0.827689	-0.015173	3.348	0.00085964	528.466
74	0.820402	-0.007287	3.720	0.000400146	533.195
75	0.791304	-0.029098	1.778	0.015014	538.175
76	0.786506	-0.004798	2.306	0.00615109	542.312
77	0.775049	-0.011457	2.126	0.00839627	546.758
78	0.770758	-0.004291	2.716	0.00292248	551.184
79	0.764950	-0.005809	3.163	0.00124233	555.962
80	0.756174	-0.008776	3.286	0.0009727	561.036
81	0.746828	-0.009346	3.336	0.000880705	566.253
