N	eigenvalue	difference	twstat	p-value	effect.n
113	0.686350	-0.007858	-6.879	1	1165.993
114	0.675148	-0.011203	-7.800	1	1169.912
115	0.672992	-0.002156	-7.476	1	1172.978
116	0.667566	-0.005426	-7.611	1	1176.373
117	0.665018	-0.002548	-7.341	1	1179.659
118	0.659774	-0.005244	-7.454	1	1183.231
119	0.658056	-0.001718	-7.061	1	1186.714
120	0.650834	-0.007222	-7.464	1	1190.617
121	0.645193	-0.005642	-7.655	1	1194.138
122	0.640048	-0.005144	-7.783	1	1197.488
123	0.632149	-0.007900	-8.335	1	1200.726
124	0.626216	-0.005933	-8.616	1	1203.419
125	0.618219	-0.007997	-9.225	1	1205.835
126	0.612884	-0.005335	-9.456	1	1207.641
127	0.605640	-0.007244	-9.991	1	1209.212
128	0.603856	-0.001784	-9.709	1	1210.240
129	0.599114	-0.004742	-9.876	1	1211.542
130	0.595947	-0.003167	-9.808	1	1212.664
131	0.593746	-0.002201	-9.588	1	1213.846
132	0.586176	-0.007570	-10.207	1	1215.244
133	0.585211	-0.000965	-9.809	1	1215.990
134	0.579063	-0.006148	-10.220	1	1217.135
135	0.575720	-0.003344	-10.203	1	1217.835
136	0.571357	-0.004362	-10.351	1	1218.535
137	0.569080	-0.002277	-10.172	1	1219.060
138	0.565617	-0.003463	-10.180	1	1219.756
139	0.562845	-0.002772	-10.079	1	1220.424
140	0.558622	-0.004223	-10.213	1	1221.183
141	0.558197	-0.000425	-9.733	1	1221.776
142	0.552505	-0.005692	-10.103	1	1222.884
143	0.550305	-0.002199	-9.913	1	1223.557
144	0.542088	-0.008218	-10.719	1	1224.425
145	0.539810	-0.002278	-10.566	1	1224.361
146	0.535842	-0.003968	-10.693	1	1224.440
147	0.528261	-0.007581	-11.435	1	1224.346
148	0.522773	-0.005488	-11.852	1	1223.383
149	0.520136	-0.002636	-11.802	1	1221.916
150	0.519363	-0.000774	-11.436	1	1220.459
151	0.513962	-0.005401	-11.848	1	1219.370
152	0.513097	-0.000866	-11.501	1	1217.769
153	0.508241	-0.004855	-11.828	1	1216.516
154	0.507494	-0.000748	-11.461	1	1214.841
155	0.503887	-0.003607	-11.578	1	1213.542
156	0.501846	-0.002041	-11.429	1	1212.058
157	0.497519	-0.004327	-11.674	1	1210.702
158	0.494567	-0.002953	-11.691	1	1209.004
159	0.493595	-0.000971	-11.363	1	1207.235
160	0.487983	-0.005613	-11.840	1	1205.808
161	0.484865	-0.003118	-11.896	1	1203.751
162	0.483995	-0.000869	-11.559	1	1201.569
163	0.478902	-0.005093	-11.961	1	1199.739
164	0.473542	-0.005360	-12.426	1	1197.359
165	0.469301	-0.004240	-12.708	1	1194.350
166	0.467120	-0.002181	-12.634	1	1190.934
167	0.466171	-0.000949	-12.338	1	1187.538
168	0.462319	-0.003853	-12.554	1	1184.432
