N	eigenvalue	difference	twstat	p-value	effect.n
1	36.294985	NA	49.446	1.14256e-102	35.762
2	26.489314	-9.805671	55.655	3.16758e-122	48.346
3	19.550859	-6.938455	58.414	2.79047e-131	63.768
4	16.503682	-3.047178	69.486	9.72375e-170	80.383
5	10.754812	-5.748870	53.006	9.67571e-114	104.654
6	8.019108	-2.735704	38.322	1.17084e-70	119.130
7	6.973919	-1.045188	33.584	2.61934e-58	127.829
8	5.992802	-0.981117	26.721	6.32768e-42	135.157
9	5.243949	-0.748853	20.456	1.08317e-28	140.556
10	5.084052	-0.159897	21.457	1.09267e-30	144.386
11	4.677810	-0.406242	18.453	7.62593e-25	148.570
12	4.465435	-0.212375	17.915	7.6321e-24	152.082
13	4.378910	-0.086525	19.353	1.50667e-26	155.539
14	4.128120	-0.250790	17.868	9.31061e-24	159.444
15	3.936125	-0.191995	17.070	2.64385e-22	163.054
16	3.773347	-0.162779	16.574	2.03776e-21	166.541
17	3.614143	-0.159204	15.936	2.69615e-20	169.980
18	3.545289	-0.068854	17.037	3.03377e-22	173.330
19	3.490483	-0.054807	18.535	5.34915e-25	177.039
20	3.379408	-0.111075	18.852	1.35145e-25	181.239
21	3.309461	-0.069947	20.098	5.44953e-28	185.625
22	3.178671	-0.130790	19.872	1.50168e-27	190.478
23	3.062150	-0.116521	19.826	1.84689e-27	195.381
24	2.945321	-0.116829	19.609	4.85155e-27	200.387
25	2.791483	-0.153838	18.127	3.09476e-24	205.448
26	2.766668	-0.024815	20.139	4.53993e-28	210.174
27	2.592491	-0.174176	17.687	2.00219e-23	215.641
28	2.559906	-0.032585	19.291	1.97524e-26	220.462
29	2.537379	-0.022527	21.396	1.45272e-30	225.906
30	2.403261	-0.134118	19.803	2.04807e-27	232.193
31	2.341134	-0.062127	20.418	1.28794e-28	238.086
32	2.255912	-0.085222	20.124	4.84468e-28	244.337
33	2.202195	-0.053717	20.894	1.4699e-29	250.639
34	2.072061	-0.130134	18.508	6.01798e-25	257.375
35	2.046189	-0.025872	20.055	6.61251e-28	263.412
36	1.986725	-0.059464	20.252	2.7194e-28	270.159
37	1.953480	-0.033245	21.567	6.57092e-31	277.146
38	1.905538	-0.047942	22.274	2.38092e-32	284.825
39	1.822461	-0.083077	21.212	3.40434e-30	292.992
40	1.720092	-0.102369	18.828	1.50037e-25	300.932
41	1.689281	-0.030811	19.775	2.32029e-27	308.100
42	1.563003	-0.126278	15.473	1.70136e-19	315.829
43	1.487204	-0.075799	13.340	5.78171e-16	322.016
44	1.448343	-0.038861	13.033	1.77229e-15	327.526
45	1.426940	-0.021402	13.682	1.63313e-16	333.034
46	1.399282	-0.027659	13.967	5.62615e-17	338.902
47	1.344390	-0.054891	12.498	1.21008e-14	345.005
48	1.307501	-0.036889	11.968	7.81306e-14	350.658
49	1.265584	-0.041917	10.989	2.19499e-12	356.218
50	1.202341	-0.063242	8.396	7.49167e-09	361.508
51	1.197111	-0.005231	9.547	2.31161e-10	365.919
52	1.176070	-0.021041	9.651	1.66714e-10	370.841
53	1.150781	-0.025289	9.419	3.43466e-10	375.895
54	1.141967	-0.008814	10.355	1.76971e-11	380.951
55	1.091979	-0.049988	8.209	1.29251e-08	386.477
56	1.067278	-0.024702	7.779	1.4912e-08	391.247
57	1.044175	-0.023102	7.404	4.45257e-08	395.934
58	1.026963	-0.017212	7.441	4.01658e-08	400.555
59	0.998445	-0.028518	6.517	5.03665e-07	405.271
60	0.972777	-0.025668	5.721	3.93988e-06	409.702
61	0.952032	-0.020745	5.251	1.25351e-05	413.893
62	0.930185	-0.021847	4.622	5.52446e-05	417.968
63	0.908448	-0.021736	3.927	0.000257996	421.862
64	0.902435	-0.006013	4.574	6.15594e-05	425.546
65	0.895201	-0.007234	5.143	1.62834e-05	429.544
66	0.869215	-0.025986	3.985	0.000227586	433.836
67	0.857601	-0.011614	4.076	0.000186789	437.726
68	0.836055	-0.021546	3.196	0.00116377	441.715
69	0.826693	-0.009362	3.422	0.000739229	445.408
70	0.810407	-0.016286	2.958	0.00184968	449.250
71	0.800312	-0.010095	3.067	0.00149878	452.961
72	0.789176	-0.011136	3.060	0.00152051	456.773
73	0.785131	-0.004045	3.775	0.000356338	460.641
74	0.751391	-0.033740	1.375	0.0281615	464.875
75	0.747293	-0.004098	1.972	0.0109031	468.158
76	0.738286	-0.009007	2.061	0.00938926	471.739
77	0.728815	-0.009471	2.089	0.0089477	475.410
78	0.720462	-0.008354	2.230	0.00702458	479.149
79	0.711149	-0.009312	2.255	0.00671698	483.005
80	0.701370	-0.009779	2.213	0.00723295	486.930
81	0.699120	-0.002251	3.038	0.00158679	490.897
82	0.690656	-0.008464	3.166	0.00123477	495.302
83	0.680278	-0.010378	3.054	0.00153763	499.837
84	0.677573	-0.002705	3.862	0.000296064	504.392
85	0.661785	-0.015788	3.075	0.00147429	509.412
86	0.656238	-0.005547	3.513	0.000614479	514.127
87	0.634619	-0.021619	1.885	0.0125937	519.136
88	0.629981	-0.004639	2.348	0.00570377	523.420
89	0.615470	-0.014511	1.513	0.022812	527.999
90	0.610634	-0.004836	1.911	0.0120725	532.234
91	0.604458	-0.006176	2.138	0.00822455	536.732
92	0.595828	-0.008630	2.025	0.00997024	541.416
93	0.586994	-0.008834	1.859	0.0131456	546.115
94	0.576435	-0.010559	1.417	0.0264278	550.800
95	0.565807	-0.010628	0.918	0.0543995	555.327
96	0.560466	-0.005341	1.150	0.0392484	559.663
97	0.555348	-0.005118	1.418	0.0263896	564.185
98	0.551674	-0.003673	1.911	0.0120662	568.921
99	0.542895	-0.008780	1.638	0.0187746	574.002
100	0.536456	-0.006439	1.696	0.0171316	579.010
101	0.526812	-0.009644	1.234	0.0347683	584.131
102	0.518867	-0.007945	0.997	0.0488057	589.069
103	0.513754	-0.005113	1.191	0.0369927	593.949
104	0.509712	-0.004042	1.563	0.0211187	599.017
105	0.497055	-0.012657	0.500	0.0940252	604.384
106	0.496046	-0.001010	1.331	0.0301038	609.207
107	0.486517	-0.009528	0.736	0.0695024	614.600
