isotype long_id_threshold long_cluster_threshold long_coverage_threshold cov_threshold count_threshold cluster_threshold gap_cluster gap_size both short_only long_only accuracy accuracy_short
JU310 95 9 60 0.35 15 9000 9 2 525 293 446 0.415348101265823 0.641809290953545
JU310 95 9 60 0.35 15 9000 9 3 529 298 442 0.416863672182821 0.639661426844015
JU310 95 9 60 0.35 15 9000 9 4 529 298 442 0.416863672182821 0.639661426844015
JU310 95 9 60 0.35 15 9000 9 5 529 298 442 0.416863672182821 0.639661426844015
JU310 95 9 60 0.35 15 9000 9 6 529 304 442 0.414901960784314 0.635054021608643
JU310 95 9 60 0.35 15 9000 9 7 529 304 442 0.414901960784314 0.635054021608643
JU310 95 9 60 0.35 15 9000 9 8 529 304 442 0.414901960784314 0.635054021608643
JU310 95 9 60 0.35 15 9000 9 9 529 304 442 0.414901960784314 0.635054021608643
JU1400 95 9 60 0.35 15 9000 9 2 1902 357 772 0.627515671395579 0.841965471447543
JU1400 95 9 60 0.35 15 9000 9 3 1905 357 769 0.628505443747938 0.842175066312997
JU1400 95 9 60 0.35 15 9000 9 4 1905 361 769 0.627677100494234 0.840688437775816
JU1400 95 9 60 0.35 15 9000 9 5 1912 374 762 0.627296587926509 0.836395450568679
JU1400 95 9 60 0.35 15 9000 9 6 1912 374 762 0.627296587926509 0.836395450568679
JU1400 95 9 60 0.35 15 9000 9 7 1912 388 762 0.624428478118877 0.831304347826087
JU1400 95 9 60 0.35 15 9000 9 8 1912 388 762 0.624428478118877 0.831304347826087
JU1400 95 9 60 0.35 15 9000 9 9 1920 396 754 0.625407166123778 0.829015544041451
JU2526 95 9 60 0.35 15 9000 9 2 3010 675 894 0.657348766106137 0.816824966078697
JU2526 95 9 60 0.35 15 9000 9 3 3077 696 827 0.668913043478261 0.815531407368142
JU2526 95 9 60 0.35 15 9000 9 4 3077 704 827 0.667751736111111 0.813805871462576
JU2526 95 9 60 0.35 15 9000 9 5 3084 712 820 0.668110918544194 0.812434141201264
JU2526 95 9 60 0.35 15 9000 9 6 3090 736 814 0.665948275862069 0.807631991636173
JU2526 95 9 60 0.35 15 9000 9 7 3090 736 814 0.665948275862069 0.807631991636173
JU2526 95 9 60 0.35 15 9000 9 8 3090 744 814 0.664802065404475 0.805946791862285
JU2526 95 9 60 0.35 15 9000 9 9 3107 751 797 0.667454350161117 0.805339554173147
JU2600 95 9 60 0.35 15 9000 9 2 1286 186 490 0.655453618756371 0.873641304347826
JU2600 95 9 60 0.35 15 9000 9 3 1288 187 488 0.656138563423332 0.873220338983051
JU2600 95 9 60 0.35 15 9000 9 4 1288 191 488 0.654804270462633 0.870858688302907
JU2600 95 9 60 0.35 15 9000 9 5 1288 191 488 0.654804270462633 0.870858688302907
JU2600 95 9 60 0.35 15 9000 9 6 1290 207 486 0.65052950075643 0.861723446893788
JU2600 95 9 60 0.35 15 9000 9 7 1290 207 486 0.65052950075643 0.861723446893788
JU2600 95 9 60 0.35 15 9000 9 8 1306 207 470 0.658598083711548 0.863185723727693
JU2600 95 9 60 0.35 15 9000 9 9 1306 207 470 0.658598083711548 0.863185723727693
MY2147 95 9 60 0.35 15 9000 9 2 721 125 406 0.575878594249201 0.852245862884161
MY2147 95 9 60 0.35 15 9000 9 3 724 128 403 0.576892430278884 0.849765258215962
MY2147 95 9 60 0.35 15 9000 9 4 724 128 403 0.576892430278884 0.849765258215962
MY2147 95 9 60 0.35 15 9000 9 5 734 128 393 0.584860557768924 0.851508120649652
MY2147 95 9 60 0.35 15 9000 9 6 734 134 393 0.582077716098335 0.845622119815668
MY2147 95 9 60 0.35 15 9000 9 7 734 134 393 0.582077716098335 0.845622119815668
MY2147 95 9 60 0.35 15 9000 9 8 734 134 393 0.582077716098335 0.845622119815668
MY2147 95 9 60 0.35 15 9000 9 9 734 134 393 0.582077716098335 0.845622119815668
MY2693 95 9 60 0.35 15 9000 9 2 1349 201 445 0.676190476190476 0.870322580645161
MY2693 95 9 60 0.35 15 9000 9 3 1357 202 437 0.679859719438878 0.870429762668377
MY2693 95 9 60 0.35 15 9000 9 4 1361 202 433 0.68186372745491 0.870761356365963
MY2693 95 9 60 0.35 15 9000 9 5 1361 207 433 0.68015992003998 0.867984693877551
MY2693 95 9 60 0.35 15 9000 9 6 1367 207 427 0.683158420789605 0.86848792884371
MY2693 95 9 60 0.35 15 9000 9 7 1368 220 426 0.679245283018868 0.861460957178841
MY2693 95 9 60 0.35 15 9000 9 8 1368 220 426 0.679245283018868 0.861460957178841
MY2693 95 9 60 0.35 15 9000 9 9 1368 228 426 0.676557863501484 0.857142857142857
NIC2 95 9 60 0.35 15 9000 9 2 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 3 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 4 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 5 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 6 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 7 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 8 123 40 255 0.294258373205742 0.754601226993865
NIC2 95 9 60 0.35 15 9000 9 9 123 40 255 0.294258373205742 0.754601226993865
NIC526 95 9 60 0.35 15 9000 9 2 1003 167 371 0.650876054510058 0.857264957264957
NIC526 95 9 60 0.35 15 9000 9 3 1005 168 369 0.651750972762646 0.856777493606138
NIC526 95 9 60 0.35 15 9000 9 4 1005 172 369 0.65006468305304 0.853865760407816
NIC526 95 9 60 0.35 15 9000 9 5 1005 172 369 0.65006468305304 0.853865760407816
NIC526 95 9 60 0.35 15 9000 9 6 1005 178 369 0.647551546391753 0.849535080304311
NIC526 95 9 60 0.35 15 9000 9 7 1005 178 369 0.647551546391753 0.849535080304311
NIC526 95 9 60 0.35 15 9000 9 8 1005 178 369 0.647551546391753 0.849535080304311
NIC526 95 9 60 0.35 15 9000 9 9 1005 178 369 0.647551546391753 0.849535080304311
QX1794 95 9 60 0.35 15 9000 9 2 2278 696 829 0.599000788850907 0.765971755211836
QX1794 95 9 60 0.35 15 9000 9 3 2284 696 823 0.600578490665264 0.766442953020134
QX1794 95 9 60 0.35 15 9000 9 4 2284 696 823 0.600578490665264 0.766442953020134
QX1794 95 9 60 0.35 15 9000 9 5 2284 706 823 0.599003409388933 0.763879598662207
QX1794 95 9 60 0.35 15 9000 9 6 2285 726 822 0.596138794677798 0.758884091663899
QX1794 95 9 60 0.35 15 9000 9 7 2285 733 822 0.595052083333333 0.757123923127899
QX1794 95 9 60 0.35 15 9000 9 8 2313 766 794 0.59721146398141 0.751217927898668
QX1794 95 9 60 0.35 15 9000 9 9 2321 774 786 0.598041741819119 0.749919224555735
XZ1516 95 9 60 0.35 15 9000 9 2 9818 1730 1381 0.759378142161033 0.850190509179079
XZ1516 95 9 60 0.35 15 9000 9 3 9846 1759 1353 0.759839481401451 0.848427401981904
XZ1516 95 9 60 0.35 15 9000 9 4 9868 1777 1331 0.760480887792848 0.84740231859167
XZ1516 95 9 60 0.35 15 9000 9 5 9891 1789 1308 0.761549122266708 0.846832191780822
XZ1516 95 9 60 0.35 15 9000 9 6 9913 1809 1286 0.762069495694957 0.845674799522266
XZ1516 95 9 60 0.35 15 9000 9 7 9958 1860 1241 0.762539244965158 0.842612963276358
XZ1516 95 9 60 0.35 15 9000 9 8 10035 1884 1164 0.767025911488191 0.841933048074503
XZ1516 95 9 60 0.35 15 9000 9 9 10039 1904 1160 0.76616042127757 0.840576069664238
