isotype long_id_threshold long_cluster_threshold long_coverage_threshold cov_threshold count_threshold cluster_threshold gap_cluster gap_size both short_only long_only accuracy accuracy_short
CB4856 95 9 60 0.35 15 9000 9 2 2294 899 767 0.579292929292929 0.718446601941748
CB4856 95 9 60 0.35 15 9000 9 3 2303 905 758 0.580685829551185 0.717892768079801
CB4856 95 9 60 0.35 15 9000 9 4 2307 913 754 0.580523402113739 0.716459627329193
CB4856 95 9 60 0.35 15 9000 9 5 2307 918 754 0.579793918069867 0.715348837209302
CB4856 95 9 60 0.35 15 9000 9 6 2317 926 744 0.581138700777527 0.714461917977182
CB4856 95 9 60 0.35 15 9000 9 7 2317 940 744 0.579105223694076 0.711390850475898
CB4856 95 9 60 0.35 15 9000 9 8 2336 963 725 0.58051689860835 0.708093361624735
CB4856 95 9 60 0.35 15 9000 9 9 2336 979 725 0.578217821782178 0.704675716440422
DL238 95 9 60 0.35 15 9000 9 2 2552 624 940 0.620019436345967 0.80352644836272
DL238 95 9 60 0.35 15 9000 9 3 2556 629 936 0.62023780635768 0.802511773940345
DL238 95 9 60 0.35 15 9000 9 4 2556 642 936 0.618287373004354 0.799249530956848
DL238 95 9 60 0.35 15 9000 9 5 2564 644 928 0.619922630560928 0.79925187032419
DL238 95 9 60 0.35 15 9000 9 6 2564 656 928 0.618129218900675 0.796273291925466
DL238 95 9 60 0.35 15 9000 9 7 2574 677 918 0.617414248021108 0.791756382651492
DL238 95 9 60 0.35 15 9000 9 8 2574 693 918 0.61505376344086 0.787878787878788
DL238 95 9 60 0.35 15 9000 9 9 2580 703 912 0.615017878426698 0.785866585440146
ECA36 95 9 60 0.35 15 9000 9 2 4052 1165 1103 0.641139240506329 0.776691585202223
ECA36 95 9 60 0.35 15 9000 9 3 4076 1174 1079 0.644019592352662 0.776380952380952
ECA36 95 9 60 0.35 15 9000 9 4 4076 1178 1079 0.643612821727459 0.775789874381424
ECA36 95 9 60 0.35 15 9000 9 5 4079 1185 1076 0.643375394321767 0.774886018237082
ECA36 95 9 60 0.35 15 9000 9 6 4080 1190 1075 0.643026004728132 0.774193548387097
ECA36 95 9 60 0.35 15 9000 9 7 4082 1202 1073 0.642126789366053 0.772520817562453
ECA36 95 9 60 0.35 15 9000 9 8 4085 1207 1070 0.642093681232317 0.771919879062736
ECA36 95 9 60 0.35 15 9000 9 9 4085 1223 1070 0.640482910003136 0.769593067068576
ECA396 95 9 60 0.35 15 9000 9 2 3191 918 1197 0.60139464756879 0.776587977610124
ECA396 95 9 60 0.35 15 9000 9 3 3205 925 1183 0.603237342367777 0.776029055690073
ECA396 95 9 60 0.35 15 9000 9 4 3205 929 1183 0.602783524543916 0.775278180938558
ECA396 95 9 60 0.35 15 9000 9 5 3208 931 1180 0.603120887384847 0.775066441169365
ECA396 95 9 60 0.35 15 9000 9 6 3212 933 1176 0.603645931215937 0.774909529553679
ECA396 95 9 60 0.35 15 9000 9 7 3212 940 1176 0.602852852852853 0.773603082851638
ECA396 95 9 60 0.35 15 9000 9 8 3212 948 1176 0.601949025487256 0.772115384615385
ECA396 95 9 60 0.35 15 9000 9 9 3220 964 1168 0.601644245142003 0.769598470363289
EG4725 95 9 60 0.35 15 9000 9 2 2586 393 787 0.686670207116304 0.868076535750252
EG4725 95 9 60 0.35 15 9000 9 3 2587 395 786 0.686571125265393 0.867538564721663
EG4725 95 9 60 0.35 15 9000 9 4 2593 397 780 0.687798408488064 0.867224080267558
EG4725 95 9 60 0.35 15 9000 9 5 2598 402 775 0.688211920529801 0.866
EG4725 95 9 60 0.35 15 9000 9 6 2604 414 769 0.687615526802218 0.862823061630219
EG4725 95 9 60 0.35 15 9000 9 7 2604 428 769 0.685082872928177 0.858839050131926
EG4725 95 9 60 0.35 15 9000 9 8 2604 428 769 0.685082872928177 0.858839050131926
EG4725 95 9 60 0.35 15 9000 9 9 2604 428 769 0.685082872928177 0.858839050131926
