"","isotype","cluster"
"229","JU367","EU1"
"230","JU2592","EU1"
"231","N2","EU1"
"232","JU2566","EU1"
"233","JU1249","EU1"
"234","JU311","EU1"
"235","NIC1107","EU1"
"236","JU2575","EU1"
"237","ECA243","EU1"
"238","JU2257","EU1"
"239","JU406","EU1"
"240","JU1568","EU1"
"241","JU2565","EU1"
"242","JU2825","EU1"
"243","JU394","EU1"
"244","WN2066","EU1"
"245","NIC515","AT"
"246","JU3280","AT"
"247","NIC268","AT"
"248","JU3167","AT"
"249","XZ1734","AT"
"250","NIC276","AT"
"251","EG4725","AT"
"252","EG4724","AT"
"253","NIC274","AT"
"254","NIC267","AT"
"255","XZ1735","AT"
"256","JU258","AT"
"257","QG2841","AT"
"258","JU2838","AT"
"259","NIC269","AT"
"260","NIC266","AT"
"261","JU3169","AT"
"262","JU3166","AT"
"263","NIC252","AT"
"264","ECA369","HW2"
"265","DL238","HW2"
"266","ECA703","HW2"
"267","CB4856","HW2"
"268","ECA732","HW2"
"269","ECA706","HW2"
"270","ECA733","HW2"
"271","JU3127","PT2"
"272","QG2813","PT2"
"273","NIC242","PT2"
"274","JU2586","PT2"
"275","CX11271","PT2"
"276","ED3040","PT2"
"277","NIC275","PT2"
"278","NIC523","PT2"
"279","ED3052","PT2"
"280","JU2522","PT2"
"281","JU3137","PT2"
"282","NIC272","PT2"
"283","NIC261","PT2"
"284","NIC260","PT2"
"285","NIC514","PT2"
"286","WN2063","PT2"
"287","NIC513","PT2"
"288","LKC34","PT2"
"289","NIC262","PT2"
"290","JU782","PT2"
"291","JU1491","PT2"
"292","NIC259","PT2"
"293","JU778","PT2"
"294","NIC236","PT2"
"295","NIC256","PT2"
"296","NIC271","PT2"
"297","JU1808","WS2"
"298","QG2075","WS2"
"299","MY2741","WS2"
"300","JU2478","WS2"
"301","CX11276","WS2"
"302","XZ1756","WS2"
"303","JU2017","WS2"
"304","ECA928","WS2"
"305","XZ1672","WS2"
"306","WN2033","WS2"
"307","CX11314","WS2"
"308","DL226","WS2"
"309","QG557","WS2"
"310","EG4946","WS2"
"311","MY18","WS2"
"312","ED3011","WS2"
"313","JU2866","WS2"
"314","ECA923","WS2"
"315","QX1233","WS2"
"316","MY795","WS2"
"317","ECA246","WS2"
"318","QX1212","WS2"
"319","ECA349","WS2"
"320","CX11292","WS2"
"321","JU2016","WS2"
"322","ECA248","WS2"
"323","JU1172","WS2"
"324","ECA250","WS2"
"325","ECA251","WS2"
"326","ECA930","WS2"
"327","ED3005","WS2"
"328","MY518","WS2"
