"","isotype","cluster"
"1","QX1791","WD"
"2","XZ1515","WD"
"3","JU2879","WD"
"4","QX1792","WD"
"5","MY16","WD"
"6","ECA738","WD"
"7","XZ2019","WD"
"8","ECA592","WD"
"9","ECA372","WD"
"10","ECA189","WD"
"11","ECA710","WD"
"12","ECA594","WD"
"13","QX1793","WD"
"14","ECA743","WD"
"15","QX1794","WD"
"16","ECA593","WD"
"17","ECA705","WD"
"18","MY23","WD"
"19","XZ1513","WD"
"20","JU3125","WS1"
"21","JU2007","WS1"
"22","JU2841","WS1"
"23","XZ2020","WS1"
"24","QG2825","WS1"
"25","JT11398","WS1"
"26","JU2853","WS1"
"27","JU2464","WS1"
"28","JU323","WS1"
"29","NIC207","WS1"
"30","NIC231","WS1"
"31","MY2212","WS1"
"32","QG2823","WS1"
"33","AB1","WS1"
"34","QG2932","WS1"
"35","JU2907","WS1"
"36","KR314","WS1"
"37","MY1","WS1"
"38","NIC255","WS1"
"39","QG2824","WS1"
"40","QG536","WS1"
"41","WN2002","WS1"
"42","NIC1","WS1"
"43","NIC2","WS1"
"44","JU561","WS1"
"45","CB4854","WS1"
"46","EG4347","WS1"
"47","JU3225","WS1"
"48","JU2578","WS1"
"49","QG2818","WS1"
"50","PX179","WS1"
"51","JU1395","WS1"
"52","XZ2018","WS1"
"53","JU3282","WS1"
"54","JU2619","WS1"
"55","JU2466","WS1"
"56","CB4852","WS1"
"57","GXW1","WS1"
"58","MY920","WS1"
"59","ED3077","WS1"
"60","JU2878","WS1"
"61","MY2530","WS1"
"62","PB303","WS1"
"63","JU2513","WS1"
"64","ED3048","WS1"
"65","MY679","WS1"
"66","MY2693","WS1"
"67","ED3073","WS1"
"68","JU1088","WS1"
"69","BRC20067","WS1"
"70","JU3135","WS1"
"71","MY2585","WS1"
"72","MY2713","WS1"
"73","RC301","WS1"
"74","ECA712","HW3"
"75","ECA760","HW3"
"76","ECA768","HW3"
"77","ECA777","HW3"
"78","ECA778","HW3"
"79","ECA807","HW3"
"80","ECA812","HW3"
"81","JU1400","EU2"
"82","ED3017","EU2"
"83","JU2581","EU2"
"84","JU3144","EU2"
"85","JU2862","EU2"
"86","JU642","EU2"
"87","JU1409","EU2"
"88","NIC166","EU2"
"89","NIC522","EU2"
"90","NIC529","EU2"
"91","JU2534","EU2"
"92","JU1440","EU2"
"93","MY2573","EU2"
"94","JU2906","EU2"
"95","JU3134","EU2"
"96","NIC1049","EU2"
"97","JU2829","EU2"
"98","JU3128","EU2"
"99","JU830","EU2"
"100","WN2064","EU2"
"101","MY2535","EU2"
"102","NIC527","EU2"
"103","NIC528","EU2"
"104","JU346","EU2"
"105","JU2587","EU2"
"106","EG4349","EU2"
"107","MY772","EU2"
"108","JU2593","EU2"
"109","NIC3","EU2"
"110","NIC526","EU2"
"111","JU751","EU2"
"112","NIC511","EU2"
"113","NIC277","EU2"
"114","JU310","EU2"
"115","JU1530","EU2"
"116","JU360","EU2"
"117","QW947","AU1"
"118","NIC1119","AU1"
"119","MY10","AU1"
"120","QG2875","AU1"
"121","QG2843","AU1"
"122","QG2877","AU1"
"123","QG2850","AU1"
"124","QG2854","AU1"
"125","QG2855","AU1"
"126","QG2857","AU1"
"127","QG2873","AU1"
"128","QG2874","AU1"
"129","CX11285","CA"
"130","CX11315","CA"
"131","ECA640","CA"
"132","CX11307","CA"
"133","ECA259","CA"
"134","CX11254","CA"
"135","CX11262","CA"
"136","QG556","CA"
"137","ECA348","CA"
"138","CX11264","CA"
"139","PS2025","CA"
"140","ECA701","PA"
"141","XZ1516","PA"
"142","ECA347","PA"
"143","ECA742","PA"
"144","ECA36","PA"
"145","ECA363","PA"
"146","ECA741","PA"
"147","QX1211","PA"
"148","XZ1514","PA"
"149","ECA724","PA"
"150","ECA740","PA"
"151","JU3226","PA"
"152","NIC195","PT1"
"153","WN2001","PT1"
"154","JU2519","PT1"
"155","NIC199","PT1"
"156","JU775","PT1"
"157","NIC258","PT1"
"158","NIC265","PT1"
"159","JU2316","PT1"
"160","JU2526","PT1"
"161","NIC251","PT1"
"162","ED3046","AU2"
"163","ED3049","AU2"
"164","JU3228","AU2"
"165","QG2828","AU2"
"166","JU774","AU2"
"167","QG2827","AU2"
"168","JU2811","AU2"
"169","BRC20263","AU2"
"170","JU3224","AU2"
"171","QG2836","AU2"
"172","QG2846","AU2"
"173","QG2838","AU2"
"174","QG2835","AU2"
"175","QG2832","AU2"
"176","QG2837","AU2"
"177","ECA730","HW1"
"178","ECA191","HW1"
"179","ECA723","HW1"
"180","ECA722","HW1"
"181","ECA746","HW1"
"182","ECA396","HW1"
"183","ECA744","HW1"
"184","ECA745","HW1"
"185","JU2576","FR"
"186","JU2001","FR"
"187","JU3132","FR"
"188","JU847","FR"
"189","DL200","FR"
"190","JU2106","FR"
"191","JU2141","FR"
"192","JU1581","FR"
"193","JU393","FR"
"194","JU1246","FR"
"195","JU2131","FR"
"196","JU397","FR"
"197","NIC501","FR"
"198","JU1793","FR"
"199","JU1213","FR"
"200","JU1580","FR"
"201","JU1934","FR"
"202","JU1242","FR"
"203","JU2600","FR"
"204","JU2570","FR"
"205","JU1666","FR"
"206","JU2250","FR"
"207","JU2610","FR"
"208","JU3140","FR"
"209","JU3291","FR"
"210","JU792","FR"
"211","WN2050","EU1"
"212","JU1652","EU1"
"213","MY2147","EU1"
"214","JU2800","EU1"
"215","JU1200","EU1"
"216","JU1543","EU1"
"217","ED3012","EU1"
"218","JU2572","EU1"
"219","JU2234","EU1"
"220","JU3141","EU1"
"221","CB4932","EU1"
"222","JU440","EU1"
"223","MY2453","EU1"
"224","JU1792","EU1"
"225","QG2811","EU1"
"226","JU1896","EU1"
"227","JU1212","EU1"
"228","JU1586","EU1"
