isotype long_id_threshold long_cluster_threshold long_coverage_threshold cov_threshold count_threshold cluster_threshold both short_only long_only accuracy accuracy_short
CB4856 95 9 60 0.35 15 6000 2342 1340 719 0.532151783685526 0.636067354698533
CB4856 95 9 60 0.35 15 9000 2303 905 758 0.580685829551185 0.717892768079801
CB4856 95 9 60 0.35 15 12000 2183 546 878 0.60521208760743 0.799926713081715
CB4856 95 9 60 0.35 15 15000 2169 467 892 0.614795918367347 0.822837632776935
CB4856 95 9 60 0.35 18 6000 2291 940 770 0.572606848287928 0.709068399876199
CB4856 95 9 60 0.35 18 9000 2231 672 830 0.597642646664881 0.768515328970031
CB4856 95 9 60 0.35 18 12000 2112 462 949 0.599489071813795 0.82051282051282
CB4856 95 9 60 0.35 18 15000 2078 363 983 0.606892523364486 0.851290454731667
CB4856 95 9 60 0.35 21 6000 2246 660 815 0.603601182477829 0.772883688919477
CB4856 95 9 60 0.35 21 9000 2130 452 931 0.606319385140905 0.824941905499613
CB4856 95 9 60 0.35 21 12000 1985 306 1076 0.58954558954559 0.866433871671759
CB4856 95 9 60 0.35 21 15000 1904 261 1157 0.573148705599037 0.879445727482679
CB4856 95 9 60 0.4 9 6000 2521 4271 540 0.343835242771413 0.371171967020024
CB4856 95 9 60 0.4 9 9000 2474 3123 587 0.40006468305304 0.442022512060032
CB4856 95 9 60 0.4 9 12000 2437 2286 624 0.455769590424537 0.515985602371374
CB4856 95 9 60 0.4 9 15000 2403 1697 658 0.505044136191677 0.58609756097561
CB4856 95 9 60 0.4 12 6000 2438 2776 623 0.417680315230427 0.467587265055619
CB4856 95 9 60 0.4 12 9000 2386 2032 675 0.468486157471039 0.540063377093708
CB4856 95 9 60 0.4 12 12000 2318 1428 743 0.516373357095121 0.618793379604912
CB4856 95 9 60 0.4 12 15000 2287 1047 774 0.556718597857838 0.685962807438512
CB4856 95 9 60 0.4 15 6000 2371 1823 690 0.485462735462735 0.565331425846447
CB4856 95 9 60 0.4 15 9000 2334 1315 727 0.533363802559415 0.639627295149356
CB4856 95 9 60 0.4 15 12000 2239 913 822 0.56341217916457 0.710342639593909
CB4856 95 9 60 0.4 15 15000 2204 657 857 0.592791823561054 0.770360013981126
CB4856 95 9 60 0.4 18 6000 2327 1189 734 0.547529411764706 0.661831626848692
CB4856 95 9 60 0.4 18 9000 2269 900 792 0.572835142640747 0.715998737772168
CB4856 95 9 60 0.4 18 12000 2169 627 892 0.588123644251627 0.775751072961373
CB4856 95 9 60 0.4 18 15000 2122 481 939 0.599096555618295 0.815213215520553
CB4856 95 9 60 0.4 21 6000 2286 854 775 0.583908045977012 0.728025477707006
CB4856 95 9 60 0.4 21 9000 2213 653 848 0.5958535271944 0.772156315422191
CB4856 95 9 60 0.4 21 12000 2101 433 960 0.601316542644533 0.829123914759274
CB4856 95 9 60 0.4 21 15000 1997 372 1064 0.581706961840955 0.842971718024483
CB4856 95 9 60 0.45 9 6000 2517 5265 544 0.302306029305789 0.323438704703161
CB4856 95 9 60 0.45 9 9000 2495 4005 566 0.353099348995188 0.383846153846154
CB4856 95 9 60 0.45 9 12000 2472 3006 589 0.407450140102192 0.451259583789704
CB4856 95 9 60 0.45 9 15000 2438 2420 623 0.444809341361065 0.501852614244545
CB4856 95 9 60 0.45 12 6000 2442 3407 619 0.377551020408163 0.41750726619935
CB4856 95 9 60 0.45 12 9000 2405 2770 656 0.41245069456354 0.464734299516908
CB4856 95 9 60 0.45 12 12000 2353 2000 708 0.464927879865639 0.540546749368252
CB4856 95 9 60 0.45 12 15000 2329 1547 732 0.505425347222222 0.600877192982456
CB4856 95 9 60 0.45 15 6000 2378 2153 683 0.456079785193709 0.524828956080335
CB4856 95 9 60 0.45 15 9000 2344 1721 717 0.49017147636972 0.576629766297663
CB4856 95 9 60 0.45 15 12000 2282 1327 779 0.520054694621696 0.632308118592408
CB4856 95 9 60 0.45 15 15000 2244 1028 817 0.548789435069699 0.685819070904645
CB4856 95 9 60 0.45 18 6000 2339 1406 722 0.523617640474591 0.62456608811749
CB4856 95 9 60 0.45 18 9000 2299 1092 762 0.553575728389116 0.67797109997051
CB4856 95 9 60 0.45 18 12000 2228 855 833 0.568947906026558 0.722672721375284
CB4856 95 9 60 0.45 18 15000 2178 687 883 0.58110992529349 0.76020942408377
CB4856 95 9 60 0.45 21 6000 2304 1036 757 0.562362704417867 0.689820359281437
CB4856 95 9 60 0.45 21 9000 2252 825 809 0.579516212043232 0.731881702957426
CB4856 95 9 60 0.45 21 12000 2160 604 901 0.589358799454297 0.781476121562952
CB4856 95 9 60 0.45 21 15000 2060 501 1001 0.578326782706345 0.804373291682936
DL238 95 9 60 0.25 9 6000 2778 1260 714 0.58459595959596 0.687964338781575
DL238 95 9 60 0.25 9 9000 2748 767 744 0.645221883071143 0.781792318634424
DL238 95 9 60 0.25 9 12000 2638 561 854 0.65087589439921 0.824632697718037
DL238 95 9 60 0.25 9 15000 2557 404 935 0.656314168377823 0.863559608240459
DL238 95 9 60 0.25 12 6000 2635 881 857 0.602561170820947 0.749431171786121
DL238 95 9 60 0.25 12 9000 2595 544 897 0.642963330029732 0.826696400127429
DL238 95 9 60 0.25 12 12000 2488 383 1004 0.642064516129032 0.866597004528039
DL238 95 9 60 0.25 12 15000 2397 276 1095 0.636146496815287 0.896745230078563
DL238 95 9 60 0.25 15 6000 2518 627 974 0.611313425588735 0.800635930047695
DL238 95 9 60 0.25 15 9000 2443 349 1049 0.636032283259568 0.875
DL238 95 9 60 0.25 15 12000 2291 220 1201 0.6171875 0.912385503783353
DL238 95 9 60 0.25 15 15000 2190 163 1302 0.599179206566347 0.930726731831704
DL238 95 9 60 0.25 18 6000 2430 476 1062 0.612399193548387 0.836200963523744
DL238 95 9 60 0.25 18 9000 2349 296 1143 0.620116156282999 0.888090737240076
DL238 95 9 60 0.25 18 12000 2168 186 1324 0.589450788471996 0.920985556499575
DL238 95 9 60 0.25 18 15000 2048 118 1444 0.567313019390582 0.945521698984303
DL238 95 9 60 0.25 21 6000 2370 343 1122 0.617992177314211 0.873571691854036
DL238 95 9 60 0.25 21 9000 2226 185 1266 0.60538482458526 0.92326835338034
DL238 95 9 60 0.25 21 12000 2025 107 1467 0.562656293414837 0.949812382739212
DL238 95 9 60 0.25 21 15000 1875 82 1617 0.524622271964186 0.958099131323454
DL238 95 9 60 0.3 9 6000 2797 1649 695 0.544057576347014 0.62910481331534
DL238 95 9 60 0.3 9 9000 2768 955 724 0.622442095794918 0.743486435670158
